Муниципалитет,Английский язык_ЗЭ_2024,Астрономия_ЗЭ_2024,Биология_ЗЭ_2024,География_ЗЭ_2024,Информатика_ЗЭ_2024,Искусство_ЗЭ_2024,Испанский язык_ЗЭ_2024,История_ЗЭ_2024,Итальянский язык_ЗЭ_2024,Китайский язык_ЗЭ_2024,Литература_ЗЭ_2024,Математика_ЗЭ_2024,Немецкий язык_ЗЭ_2024,Обществознание_ЗЭ_2024,Олимпиада им. В.Я. Струве по астрономии_ЗЭ_2024,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ_2024,Олимпиада им. Л.Эйлера по математике_ЗЭ_2024,Основы безопасности жизнедеятельности_ЗЭ_2024,Право_ЗЭ_2024,Русский язык_ЗЭ_2024,Технология_ЗЭ_2024,Физика_ЗЭ_2024,Физическая культура_ЗЭ_2024,Французский язык_ЗЭ_2024,Химия_ЗЭ_2024,Экология_ЗЭ_2024,Экономика_ЗЭ_2024
Батецкий  район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Боровичский  район,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Валдайский  район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Волотовский  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Демянский  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестецкий  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Любытинский  район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Маловишерский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Марёвский  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Мошенской  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Новгородский  район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Окуловский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Парфинский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Пестовский  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Поддорский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Солецкий  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Старорусский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Хвойнинский  округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Холмский  район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Чудовский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Шимский район,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Великий Новгород,1,0,0,1,1,1,0,1,0,1,0,1,2,1,0,0,0,1,1,1,0,1,0,0,1,0,1
